"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "
"1"," "," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Maternal stress score","Sum score of inflammation Year 2","643","10","18","0.04","0.09","0.05 (-0.06, 0.17)","0.36","0.96"
"4","","Ln Th1/Th2 Year 2","566","10","18","-0.03","-0.07","-0.03 (-0.09, 0.03)","0.31","0.96"
"5","","Ln Th1/Th17 Year 2","560","10","18","0.32","0.34","0.03 (-0.08, 0.14)","0.63","0.99"
"6","","Ln Th1/IL-10 Year 2","637","10","18","1.37","1.35","-0.01 (-0.08, 0.05)","0.69","0.99"
"7","","Ln Th2/IL-10 Year 2","639","10","18","1.35","1.35","0.01 (-0.07, 0.08)","0.89","0.99"
"8","","Ln Th17/IL-10 Year 2","630","10","18","0.89","0.91","0.02 (-0.07, 0.1)","0.69","0.99"
"9","","Ln GM-CSF/IL-10 Year 2","652","10","18","2.33","2.33","0 (-0.12, 0.12)","1","1"
"10","","Ln IL-2/IL-10 Year 2","558","10","18","-2.39","-2.41","-0.02 (-0.16, 0.13)","0.82","0.99"
"11","","Ln IFN-y Year 2","569","10","18","1.95","1.96","0 (-0.07, 0.08)","0.98","1"
"12","","Ln CRP Year 2","1175","10","17","-0.32","-0.33","-0.01 (-0.19, 0.17)","0.9","0.99"
"13","","Ln AGP Year 2","692","10","18","-0.19","-0.18","0.01 (-0.04, 0.06)","0.75","0.99"
"14","","Ln IGF-1 Year 2","671","10","18","3.9","3.88","-0.02 (-0.08, 0.04)","0.52","0.99"
"15","","","","","","","","","",""
"16","Paternal stress score","Sum score of inflammation Year 2","459","15","22","0.14","0.2","0.06 (-0.06, 0.18)","0.35","0.96"
"17","","Ln Th1/Th2 Year 2","422","15","21","-0.01","-0.03","-0.03 (-0.08, 0.03)","0.36","0.96"
"18","","Ln Th1/Th17 Year 2","477","15","22","0.35","0.32","-0.03 (-0.09, 0.02)","0.23","0.96"
"19","","Ln Th1/IL-10 Year 2","455","15","22","1.39","1.4","0.01 (-0.06, 0.08)","0.81","0.99"
"20","","Ln Th2/IL-10 Year 2","467","15","22","1.46","1.48","0.01 (-0.07, 0.1)","0.77","0.99"
"21","","Ln Th17/IL-10 Year 2","453","15","22","0.91","0.92","0.01 (-0.07, 0.1)","0.8","0.99"
"22","","Ln GM-CSF/IL-10 Year 2","478","15","22","2.33","2.55","0.21 (-0.06, 0.48)","0.12","0.96"
"23","","Ln IL-2/IL-10 Year 2","415","15","21","-2.49","-2.46","0.03 (-0.11, 0.17)","0.69","0.99"
"24","","Ln IFN-y Year 2","423","14.5","21","2.05","2.04","-0.01 (-0.09, 0.07)","0.82","0.99"
"25","","Ln CRP Year 2","863","15","22","-0.17","-0.23","-0.06 (-0.18, 0.06)","0.33","0.96"
"26","","Ln AGP Year 2","525","15","22","-0.21","-0.17","0.05 (-0.01, 0.1)","0.09","0.96"
"27","","Ln IGF-1 Year 2","422","15","21","3.74","3.78","0.04 (-0.01, 0.09)","0.11","0.96"
